pathway	category
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	Metabolism of RNA
Defective CBLIF causes IFD	Disease
ERKs are inactivated	Immune System
Signaling by MAP2K mutants	Disease
Beta oxidation of myristoyl-CoA to lauroyl-CoA	Metabolism
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	Metabolism
RUNX3 regulates YAP1-mediated transcription	Gene expression (Transcription)
phospho-PLA2 pathway	Signal Transduction
Signaling by MAPK mutants	Disease
Insulin effects increased synthesis of Xylulose-5-Phosphate	Metabolism
NOSIP mediated eNOS trafficking	Metabolism
Reuptake of GABA	Neuronal System
FMO oxidises nucleophiles	Metabolism
Defective FMO3 causes TMAU	Disease
Defective SLC5A2 causes renal glucosuria (GLYS1)	Disease
AKT-mediated inactivation of FOXO1A	Developmental Biology
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Metabolism of RNA
PKB-mediated events	Signal Transduction
PDE3B signalling	Signal Transduction
Inhibition of TSC complex formation by PKB	Signal Transduction
mRNA Editing: C to U Conversion	Metabolism of RNA
mRNA Editing	Metabolism of RNA
Formation of the Editosome	Metabolism of RNA
RUNX1 regulates transcription of genes involved in BCR signaling	Gene expression (Transcription)
Cysteine formation from homocysteine	Metabolism
RHO GTPases activate KTN1	Signal Transduction
Defective ABCD1 causes ALD	Disease
MPS IV - Morquio syndrome A	Disease
NTF4 activates NTRK2 (TRKB) signaling	Signal Transduction
Defective MPI causes MPI-CDG	Disease
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	Immune System
Inhibition of nitric oxide production	Disease
Nicotinamide salvaging	Metabolism
MPS I - Hurler syndrome	Disease
Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)	Disease
Glycogen storage disease type Ia (G6PC)	Disease
Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)	Disease
Synthesis of PE	Metabolism
NOTCH4 Intracellular Domain Regulates Transcription	Signal Transduction
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB	Disease
Electric Transmission Across Gap Junctions	Neuronal System
Transmission across Electrical Synapses 	Neuronal System
Repression of WNT target genes	Signal Transduction
Phosphate bond hydrolysis by NUDT proteins	Metabolism
Defective PGM1 causes PGM1-CDG	Disease
STAT5 Activation	Immune System
Drug resistance of FLT3 mutants	Disease
FLT3 mutants bind TKIs	Disease
KW2449-resistant FLT3 mutants	Disease
semaxanib-resistant FLT3 mutants	Disease
crenolanib-resistant FLT3 mutants	Disease
gilteritinib-resistant FLT3 mutants	Disease
lestaurtinib-resistant FLT3 mutants	Disease
midostaurin-resistant FLT3 mutants	Disease
pexidartinib-resistant FLT3 mutants	Disease
ponatinib-resistant FLT3 mutants	Disease
quizartinib-resistant FLT3 mutants	Disease
sorafenib-resistant FLT3 mutants	Disease
sunitinib-resistant FLT3 mutants	Disease
tandutinib-resistant FLT3 mutants	Disease
linifanib-resistant FLT3 mutants	Disease
tamatinib-resistant FLT3 mutants	Disease
Sensory perception of salty taste	Sensory Perception
TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P	Disease
TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P	Disease
Pentose phosphate pathway disease	Disease
Defective DNA double strand break response due to BRCA1 loss of function	Disease
Defective DNA double strand break response due to BARD1 loss of function	Disease
Activation of Na-permeable kainate receptors	Neuronal System
Defective Mismatch Repair Associated With MLH1	Disease
Defective Mismatch Repair Associated With PMS2	Disease
Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)	Disease
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	Metabolism
STAT6-mediated induction of chemokines	Immune System
Activation of AMPA receptors	Neuronal System
Stimulation of the cell death response by PAK-2p34	Programmed Cell Death
Defective SLC1A3 causes episodic ataxia 6 (EA6)	Disease
Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)	Disease
Defective Mismatch Repair Associated With MSH6	Disease
Defective BTD causes biotidinase deficiency	Disease
Activation of BMF and translocation to mitochondria	Programmed Cell Death
Interleukin-38 signaling	Immune System
Proton/oligopeptide cotransporters	Transport of small molecules
SUMOylation of nuclear envelope proteins	Metabolism of proteins
Alternative Lengthening of Telomeres (ALT)	Disease
Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations	Disease
Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations	Disease
Defective Inhibition of DNA Recombination at Telomere	Disease
Diseases of Telomere Maintenance	Disease
Pre-NOTCH Processing in the Endoplasmic Reticulum	Signal Transduction
FBXW7 Mutants and NOTCH1 in Cancer	Disease
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	Disease
Defective LFNG causes SCDO3	Disease
RUNX3 regulates NOTCH signaling	Gene expression (Transcription)
Potassium transport channels	Neuronal System
Classical Kir channels	Neuronal System
Synthesis of PIPs in the nucleus	Metabolism
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	Developmental Biology
Defective GCLC causes HAGGSD	Disease
Defective GSS causes GSS deficiency	Disease
Synthesis of PS	Metabolism
PI and PC transport between ER and Golgi membranes	Metabolism
Hydroxycarboxylic acid-binding receptors	Signal Transduction
RPIA deficiency: failed conversion of R5P to RU5P	Disease
RPIA deficiency: failed conversion of RU5P to R5P	Disease
Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)	Disease
Hypusine synthesis from eIF5A-lysine	Metabolism of proteins
Choline catabolism	Metabolism
Vitamin E	Metabolism
Noncanonical activation of NOTCH3	Signal Transduction
Maturation of nucleoprotein	Disease
Regulation of thyroid hormone activity	Metabolism
Essential fructosuria	Disease
Defective SLC26A2 causes chondrodysplasias	Disease
Defective GALK1 causes GALCT2	Disease
Defective TPMT causes TPMT deficiency	Disease
Impaired BRCA2 translocation to the nucleus	Disease
Impaired BRCA2 binding to SEM1 (DSS1)	Disease
Loss of MECP2 binding ability to 5hmC-DNA	Disease
Loss of MECP2 binding ability to 5mC-DNA	Disease
MECP2 regulates transcription of genes involved in GABA signaling	Gene expression (Transcription)
Degradation of GABA	Neuronal System
MPS IIIA - Sanfilippo syndrome A	Disease
Mitotic Metaphase/Anaphase Transition	Cell Cycle
Synthesis of Dolichyl-phosphate	Metabolism of proteins
Inositol transporters	Transport of small molecules
MPS IIIB - Sanfilippo syndrome B	Disease
Cation-coupled Chloride cotransporters	Transport of small molecules
Defective SLC12A3 causes Gitelman syndrome (GS)	Disease
mRNA Editing: A to I Conversion	Metabolism of RNA
C6 deamination of adenosine	Metabolism of RNA
Formation of editosomes by ADAR proteins	Metabolism of RNA
SUMO is conjugated to E1 (UBA2:SAE1)	Metabolism of proteins
SUMO is transferred from E1 to E2 (UBE2I, UBC9)	Metabolism of proteins
SUMO is proteolytically processed	Metabolism of proteins
Processing and activation of SUMO	Metabolism of proteins
Activation and oligomerization of BAK protein	Programmed Cell Death
Activation, translocation and oligomerization of BAX	Programmed Cell Death
Signaling by TCF7L2 mutants	Disease
Virion Assembly and Release	Disease
Maturation of protein M	Disease
SARS-CoV-1-mediated effects on programmed cell death	Disease
SARS-CoV-1 targets PDZ proteins in cell-cell junction	Disease
PTEN Loss of Function in Cancer	Disease
Regulation of PTEN mRNA translation	Signal Transduction
Toxicity of botulinum toxin type E (botE)	Disease
Sensory perception of sour taste	Sensory Perception
Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)	Disease
Transport of nucleotide sugars	Transport of small molecules
Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	Disease
Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	Disease
Defective Base Excision Repair Associated with NTHL1	Disease
Defective NTHL1 substrate processing	Disease
Defective NTHL1 substrate binding	Disease
Defective SLC3A1 causes cystinuria (CSNU)	Disease
Defective SLC7A9 causes cystinuria (CSNU)	Disease
Loss of Function of SMAD4 in Cancer	Disease
SMAD4 MH2 Domain Mutants in Cancer	Disease
SMAD2/3 MH2 Domain Mutants in Cancer	Disease
Cell redox homeostasis	Disease
Tolerance of reactive oxygen produced by macrophages	Disease
Antimicrobial action and antimicrobial resistance in Mtb	Disease
Blockage of phagosome acidification	Disease
Defective MAT1A causes MATD	Disease
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	Disease
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	Disease
Rhesus glycoproteins mediate ammonium transport.	Transport of small molecules
Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)	Disease
Defective CYP27A1 causes CTX	Disease
Biosynthesis of DHA-derived sulfido conjugates	Metabolism
Biosynthesis of maresin conjugates in tissue regeneration (MCTR)	Metabolism
Defective ACY1 causes encephalopathy	Disease
GABA synthesis	Neuronal System
Defective GFPT1 causes CMSTA1	Disease
mRNA decay by 3' to 5' exoribonuclease	Metabolism of RNA
Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)	Disease
Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function	Disease
NTRK3 as a dependence receptor	Signal Transduction
Defective CYP24A1 causes HCAI	Disease
Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	Disease
Conjugation of benzoate with glycine	Metabolism
Conjugation of phenylacetate with glutamine	Metabolism
Reactions specific to the hybrid N-glycan synthesis pathway	Metabolism of proteins
Defective ABCC8 can cause hypo- and hyper-glycemias	Disease
Defective MGAT2 causes CDG-2a	Disease
Acetylcholine inhibits contraction of outer hair cells	Sensory Perception
MPS IX - Natowicz syndrome	Disease
Signalling to ERK5	Signal Transduction
Sodium-coupled sulphate, di- and tri-carboxylate transporters	Transport of small molecules
Leukotriene receptors	Signal Transduction
Zinc transporters	Transport of small molecules
Zinc influx into cells by the SLC39 gene family	Transport of small molecules
Defective SLC12A1 causes Bartter syndrome 1 (BS1)	Disease
Defective MOGS causes CDG-2b	Disease
RUNX3 regulates RUNX1-mediated transcription	Gene expression (Transcription)
Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3	Disease
Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2	Disease
Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1	Disease
Defective GALE causes EDG	Disease
IRF3 mediated activation of type 1 IFN	Immune System
Organic anion transporters	Transport of small molecules
Pyrophosphate hydrolysis	Metabolism
Sterols are 12-hydroxylated by CYP8B1	Metabolism
Defective CYP1B1 causes Glaucoma	Disease
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)	Metabolism
Metabolism of ingested MeSeO2H into MeSeH	Metabolism
Defective ALG11 causes CDG-1p	Disease
Proton-coupled neutral amino acid transporters	Transport of small molecules
Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)	Disease
Organic anion transport	Transport of small molecules
SDK interactions	Cell-Cell communication
Wax biosynthesis	Metabolism
MPS IIIC - Sanfilippo syndrome C	Disease
Defective SLC6A19 causes Hartnup disorder (HND)	Disease
Defective SLC6A19 causes Hartnup disorder (HND)	Disease
Oleoyl-phe metabolism	Metabolism
rRNA modification in the mitochondrion	Metabolism of RNA
Biosynthesis of A2E, implicated in retinal degradation	Disease
ALKBH2 mediated reversal of alkylation damage	DNA Repair
Reversal of alkylation damage by DNA dioxygenases	DNA Repair
Defective CYP4F22 causes ARCI5	Disease
Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)	Disease
Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	Disease
Phase 1 - inactivation of fast Na+ channels	Muscle contraction
PAOs oxidise polyamines to amines	Metabolism
Glycerophospholipid catabolism	Metabolism
Defective CYP26C1 causes FFDD4	Disease
Defective CYP27B1 causes VDDR1B	Disease
Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	Disease
TWIK-related spinal cord K+ channel (TRESK)	Neuronal System
Defective CYP2U1 causes SPG56	Disease
Essential pentosuria	Disease
Defective DHDDS causes RP59	Disease
Defective ABCA12 causes ARCI4B	Disease
Regulation of NPAS4 mRNA translation	Gene expression (Transcription)
Defective SLC9A9 causes autism 16 (AUTS16)	Disease
Defective SFTPA2 causes IPF	Disease
Zinc efflux and compartmentalization by the SLC30 family	Transport of small molecules
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate	Metabolism
Metabolism of vitamin K	Metabolism
Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)	Disease
Arachidonate production from DAG	Hemostasis
ALKBH3 mediated reversal of alkylation damage	DNA Repair
Evasion of Oncogene Induced Senescence Due to p14ARF Defects	Disease
Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects	Disease
Post-transcriptional silencing by small RNAs	Gene expression (Transcription)
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	Signal Transduction
Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)	Disease
Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)	Disease
Synthesis of IPs in the nucleus	Metabolism
Defective Base Excision Repair Associated with NEIL3	Disease
NEIL3-mediated resolution of ICLs	DNA Repair
Interleukin-36 pathway	Immune System
Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)	Disease
Defective ALG3 causes CDG-1d	Disease
Defective ABCC2 causes DJS	Disease
Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)	Disease
Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)	Disease
Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)	Disease
Agmatine biosynthesis	Metabolism
Defective RFT1 causes CDG-1n	Disease
Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)	Disease
Defective MMAB causes MMA, cblB type	Disease
Defective ALG14 causes ALG14-CMS	Disease
Defective Base Excision Repair Associated with NEIL1	Disease
Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	Disease
Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	Disease
Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)	Disease
TWIK-related alkaline pH activated K+ channel (TALK)	Neuronal System
Mitochondrial transcription termination	Gene expression (Transcription)
Defective MTRR causes HMAE	Disease
Defective MTR causes HMAG	Disease
Defective ABCA3 causes SMDP3	Disease
Defective ABCA3 causes SMDP3	Disease
Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)	Disease
Defective ALG1 causes CDG-1k	Disease
Severe congenital neutropenia type 4 (G6PC3)	Disease
Defective ALG12 causes CDG-1g	Disease
Defective ALG8 causes CDG-1h	Disease
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)	Disease
Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	Disease
Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	Disease
Defective ABCG8 causes GBD4 and sitosterolemia	Disease
Defective ABCG5 causes sitosterolemia	Disease
LGK974 inhibits PORCN	Disease
Defective DPAGT1 causes CDG-1j, CMSTA2	Disease
Defective MMADHC causes MMAHCD	Disease
Defective ALG2 causes CDG-1i	Disease
Defective ALG9 causes CDG-1l	Disease
Defective SRD5A3 causes SRD5A3-CDG, KHRZ	Disease
Tandem pore domain halothane-inhibited K+ channel (THIK)	Neuronal System
Defective ABCB6 causes MCOPCB7	Disease
Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)	Disease
Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)	Disease
Hydrolysis of LPE	Metabolism
Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)	Disease
Defective CYP26B1 causes RHFCA	Disease
Defective SLC17A5 causes Salla disease (SD) and ISSD	Disease
Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)	Disease
Regulation by TREX1	Immune System
Defective SLC35D1 causes SCHBCKD	Disease
Intestinal lipid absorption	Digestion and absorption
Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)	Disease
Defective Base Excision Repair Associated with MUTYH	Disease
Defective MUTYH substrate binding	Disease
Defective MUTYH substrate processing	Disease
Synthesis of CL	Metabolism
Defective MAN1B1 causes MRT15	Disease
Drug resistance of ALK mutants	Disease
ASP-3026-resistant ALK mutants	Disease
NVP-TAE684-resistant ALK mutants	Disease
alectinib-resistant ALK mutants	Disease
brigatinib-resistant ALK mutants	Disease
ceritinib-resistant ALK mutants	Disease
crizotinib-resistant ALK mutants	Disease
lorlatinib-resistant ALK mutants	Disease
Variant SLC6A14 may confer susceptibility towards obesity	Disease
Synthesis of IPs in the ER lumen	Metabolism
Defective DOLK causes DOLK-CDG	Disease
Defective GNE causes sialuria, NK and IBM2	Disease
Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)	Disease
Defective SLC6A5 causes hyperekplexia 3 (HKPX3)	Disease
Defective MMACHC causes MAHCC	Disease
Defective ALG6 causes CDG-1c	Disease
Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	Disease
Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)	Disease
